"Kerncijfers wijken en buurten 2015"
"Onderwerpen";"Regioaanduiding";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen"
"Onderwerpen";"Codering";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Personenauto's";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; leeftijd";"Personenauto's; leeftijd";"Personenauto's; brandstoftype";"Personenauto's; brandstoftype";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Onderwerpen";"Codering";"Personenauto's totaal";"Personenauto's; jonger dan 6 jaar";"Personenauto's; 6 jaar en ouder";"Personenauto's; brandstof benzine";"Personenauto's; overige brandstof";"Personenauto's per huishouden";"Personenauto's naar oppervlakte";"Bedrijfsmotorvoertuigen";"Motortweewielers"
"Wijken en buurten";"code";"aantal";"aantal";"aantal";"aantal";"aantal";"per huishouden";"per km²";"aantal";"aantal"
"Verspreide huizen Rolde";"BU16801909";"80";"15";"65";"55";"25";"1.4";"4";"80";"10"
"Wijk 20 Grolloo";"WK168020";"665";"195";"470";"455";"205";"1.3";"13";"120";"140"
"Grolloo";"BU16802000";"385";"100";"285";"275";"110";"1.4";"502";"45";"80"
"Schoonloo";"BU16802001";"110";"45";"65";"80";"30";"1.2";"151";"25";"30"
"Verspreide huizen Papenvoort";"BU16802008";"35";"5";"30";"20";"15";".";".";"15";"0"
"Verspreide huizen Grolloo";"BU16802009";"135";"45";"90";"85";"50";"1.3";"3";"35";"30"
"Wijk 21 Ekehaar";"WK168021";"260";"80";"180";"180";"80";"1.3";"13";"75";"30"
"Ekehaar";"BU16802100";"140";"45";"90";"100";"35";"1.2";"369";"35";"20"
"Amen";"BU16802101";"55";"20";"35";"35";"20";".";".";"10";"5"
"Verspreide huizen Ekehaar";"BU16802109";"70";"15";"55";"45";"25";".";".";"30";"5"
"Borger-Odoorn";"GM1681";"14315";"3715";"10600";"10760";"3555";"1.3";"52";"2300";"1585"
"Wijk 00 Borger";"WK168100";"2610";"805";"1810";"1995";"620";"1.2";"110";"270";"210"
"Borger";"BU16810000";"2455";"755";"1705";"1900";"560";"1.2";"858";"180";"190"
"Westdorp";"BU16810001";"50";"15";"35";"35";"15";".";".";"15";"10"
"Verspreide huizen Ellertshaar";"BU16810007";"15";"0";"15";"10";"10";".";".";"5";"5"
"Verspreide huizen Westdorp";"BU16810008";"25";"15";"15";"15";"10";".";".";"5";"0"
"Verspreide huizen Borger";"BU16810009";"65";"20";"40";"35";"30";".";".";"65";"5"
"Wijk 01 Buinen";"WK168101";"480";"115";"370";"345";"135";"1.5";"33";"90";"65"
"Buinen";"BU16810100";"455";"105";"350";"325";"130";"1.5";"388";"90";"65"
"Verspreide huizen Buinen";"BU16810109";"30";"10";"20";"25";"5";".";".";"5";"0"
"Wijk 02 Bronneger";"WK168102";"65";"20";"45";"40";"25";".";".";"15";"5"
"Bronneger";"BU16810200";"65";"20";"45";"40";"25";".";".";"15";"5"
"Verspreide huizen Bronneger";"BU16810209";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wijk 03 Drouwen";"WK168103";"330";"100";"230";"240";"95";"1.6";"24";"45";"40"
"Drouwen";"BU16810300";"280";"80";"200";"200";"80";"1.5";"386";"35";"35"
"Verspreide huizen Drouwen";"BU16810309";"50";"20";"30";"35";"15";".";".";"10";"5"
"Wijk 04 Bronnegerveen";"WK168104";"55";"10";"45";"40";"15";".";".";"20";"10"
"Verspreide huizen Bronnegerveen";"BU16810409";"55";"10";"45";"40";"15";".";".";"20";"10"
"Wijk 05 Drouwenerveen";"WK168105";"150";"35";"115";"95";"55";"1.4";"47";"35";"40"
"Drouwenerveen";"BU16810500";"145";"35";"110";"95";"55";"1.5";"118";"35";"40"
"Verspreide huizen Drouwenerveen";"BU16810509";"5";"0";"0";"5";"0";".";".";"5";"5"
"Wijk 06 Drouwenermond";"WK168106";"305";"65";"240";"225";"80";"1.4";"23";"70";"50"
"Drouwenermond";"BU16810600";"305";"65";"240";"225";"80";"1.4";"188";"70";"50"
"Verspreide huizen Drouwenermond";"BU16810609";"5";"0";"0";"5";"0";".";".";"0";"0"
"Wijk 07 Nieuw-Buinen";"WK168107";"2515";"610";"1905";"1950";"565";"1.2";"112";"420";"260"
"Nieuw-Buinen";"BU16810700";"2485";"600";"1885";"1935";"555";"1.2";"538";"415";"255"
"Verspreide huizen Nieuw-Buinen";"BU16810709";"25";"10";"20";"15";"10";".";".";"5";"5"
"Wijk 08 Buinerveen";"WK168108";"270";"50";"220";"190";"80";"1.6";"35";"60";"50"
"Buinerveen";"BU16810800";"270";"50";"220";"190";"80";"1.6";"232";"55";"45"
"Verspreide huizen Buinerveen";"BU16810809";"0";"0";"0";"0";"0";".";".";"0";"0"
"Wijk 09 Ees";"WK168109";"445";"100";"345";"315";"130";"1.6";"22";"80";"40"
"Ees";"BU16810900";"185";"40";"145";"140";"45";"1.3";"293";"25";"15"
"Eesergroen";"BU16810901";"70";"20";"55";"45";"30";".";".";"15";"5"
"Verspreide huizen Eeserveen";"BU16810907";"115";"20";"95";"80";"30";"1.6";"18";"25";"15"
"Verspreide huizen Eesergroen";"BU16810908";"30";"10";"20";"25";"10";".";".";"5";"0"
"Verspreide huizen Ees";"BU16810909";"45";"15";"30";"30";"15";".";".";"15";"0"
"Wijk 10 Odoorn";"WK168110";"1010";"325";"685";"770";"235";"1.3";"60";"100";"105"
"Odoorn";"BU16811000";"1005";"325";"680";"770";"235";"1.3";"494";"100";"105"
"Verspreide huizen Odoorn";"BU16811009";"5";"0";"5";"5";"0";".";".";"0";"0"
"Wijk 11 Exloo";"WK168111";"960";"320";"640";"720";"240";"1.3";"52";"140";"90"
"Exloo";"BU16811100";"925";"310";"615";"690";"230";"1.3";"439";"135";"90"
"Verspreide huizen Exloo";"BU16811109";"35";"10";"25";"25";"10";".";".";"5";"5"
"Wijk 12 Valthe";"WK168112";"760";"190";"570";"595";"165";"1.4";"74";"95";"115"
"Valthe";"BU16811200";"650";"170";"480";"515";"135";"1.4";"475";"70";"100"
"Verspreide huizen Valthe";"BU16811209";"115";"20";"95";"80";"35";"1.7";"13";"25";"20"
"Wijk 13 Klijndijk";"WK168113";"470";"140";"330";"345";"125";"1.4";"64";"70";"60"
"Klijndijk";"BU16811300";"430";"130";"300";"320";"115";"1.4";"296";"65";"55"
"Verspreide huizen Klijndijk";"BU16811309";"40";"5";"35";"30";"10";".";".";"5";"5"
"Wijk 14 Odoornerveen";"WK168114";"220";"60";"160";"125";"95";"1.4";"18";"60";"35"
"Odoornerveen";"BU16811400";"195";"50";"145";"110";"85";"1.5";"109";"45";"30"
"Verspreide huizen Odoornerveen";"BU16811409";"25";"10";"15";"15";"10";".";".";"10";"5"
"Wijk 15 Tweede Exloërmond";"WK168115";"1610";"350";"1255";"1200";"405";"1.4";"39";"355";"160"
"Tweede Exloërmond";"BU16811500";"1355";"295";"1060";"1030";"325";"1.4";"363";"260";"140"
"Eerste Exloërmond";"BU16811501";"195";"45";"150";"135";"65";"1.3";"86";"80";"15"
"Exloërveen";"BU16811502";"35";"5";"30";"20";"10";".";".";"10";"0"
"Verspreide huizen Tweede Exloërmond";"BU16811509";"20";"5";"15";"15";"5";".";".";"5";"0"
"Wijk 16 Valthermond";"WK168116";"2055";"420";"1640";"1565";"490";"1.3";"52";"365";"245"
"Valthermond";"BU16811600";"1945";"395";"1555";"1490";"455";"1.3";"334";"345";"235"
"Zandberg";"BU16811601";"40";"10";"30";"30";"10";".";".";"5";"0"
"Tweede Valthermond";"BU16811602";"40";"10";"30";"25";"15";".";".";"15";"5"
"Verspreide huizen Valthermond";"BU16811609";"30";"5";"25";"20";"10";".";".";"0";"0"
"Cuijk";"GM1684";"12480";"3180";"9300";"9710";"2775";"1.2";"244";"1775";"1040"
"Wijk 00 Cuijk";"WK168400";"8350";"2130";"6220";"6575";"1775";"1.1";"1017";"775";"605"
"Cuijk";"BU16840000";"1590";"380";"1205";"1315";"275";"0.8";"1219";"115";"80"
"De Valuwe";"BU16840001";"1435";"210";"1225";"1145";"290";"0.9";"1550";"70";"105"
"Heiligenberg en Beijerd en 't Riet";"BU16840002";"280";"170";"110";"130";"150";".";".";"315";"15"
"Padbroek";"BU16840003";"1740";"355";"1380";"1385";"350";"1.1";"2070";"80";"160"
"Heeswijkse Kampen";"BU16840004";"3090";"885";"2210";"2445";"645";"1.2";"1765";"135";"220"
"Verspreide huizen ten westen van Cuijk";"BU16840008";"180";"120";"65";"125";"60";".";".";"55";"20"
"Verspr.h. ten zuidwesten van Cuijk";"BU16840009";"30";"5";"25";"25";"5";".";".";"0";"5"
"Wijk 01 Vianen";"WK168401";"660";"175";"490";"540";"120";"1.4";"238";"60";"80"
"Vianen";"BU16840100";"475";"125";"350";"405";"75";"1.3";"809";"25";"55"
"Verspreide huizen Vianen";"BU16840109";"185";"50";"140";"140";"50";"1.7";"85";"35";"25"
"Wijk 02 Sint Agatha";"WK168402";"270";"70";"200";"195";"75";"1.1";"46";"55";"35"
"Sint Agatha";"BU16840200";"155";"45";"115";"125";"35";"1.2";"334";"15";"20"
"Verspreide huizen Sint Agatha";"BU16840209";"115";"30";"85";"75";"40";"1.0";"21";"40";"20"
"Wijk 03 Katwijk";"WK168403";"470";"170";"295";"325";"145";"1.6";"163";"105";"45"
"Katwijk";"BU16840300";"175";"50";"125";"145";"25";"1.4";"370";"15";"25"
"Havengebied";"BU16840301";"90";"70";"20";"30";"60";".";".";"70";"5"
"Verspreide huizen Katwijk";"BU16840309";"205";"55";"150";"145";"60";"1.3";"180";"20";"20"
"Wijk 04 Haps";"WK168404";"1590";"360";"1235";"1225";"370";"1.4";"106";"580";"175"
"Haps";"BU16840400";"1210";"260";"950";"965";"250";"1.4";"1193";"90";"130"
"Verspreide huizen Haps";"BU16840409";"380";"95";"285";"260";"120";"1.5";"27";"490";"45"
"Wijk 05 Beers";"WK168405";"985";"235";"750";"745";"240";"1.4";"81";"150";"90"
"Beers";"BU16840500";"740";"180";"555";"575";"160";"1.4";"1387";"60";"65"
"Verspreide huizen Beers";"BU16840509";"245";"55";"195";"165";"80";"1.5";"21";"85";"25"
"Wijk 06 Linden";"WK168406";"150";"40";"110";"100";"50";"1.4";"34";"30";"10"
"Linden";"BU16840600";"120";"35";"85";"85";"35";"1.4";"298";"20";"10"
"Verspreide huizen Linden";"BU16840609";"30";"5";"25";"15";"10";".";".";"10";"0"
"Landerd";"GM1685";"8465";"1985";"6480";"6410";"2055";"1.4";"120";"1605";"840"
"Wijk 00 Schaijk";"WK168500";"3795";"960";"2835";"2875";"920";"1.4";"125";"795";"305"
"Schaijk";"BU16850000";"3195";"835";"2360";"2450";"745";"1.3";"583";"650";"255"
"Verspreide huizen Schaijkse Heide";"BU16850007";"315";"70";"250";"210";"105";"1.8";"19";"90";"35"
"Verspreide huizen Mun";"BU16850008";"260";"50";"210";"200";"60";"1.7";"54";"45";"15"
"Overige verspreide huizen";"BU16850009";"20";"5";"15";"15";"5";".";".";"10";"0"
"Wijk 01 Reek";"WK168501";"965";"260";"705";"715";"250";"1.5";"93";"175";"100"
"Reek";"BU16850100";"850";"230";"620";"635";"210";"1.4";"358";"115";"85"
"Verspr.h. Reekse Heide en Bovenland";"BU16850109";"120";"30";"90";"80";"40";"1.6";"15";"60";"15"
"Wijk 02 Zeeland";"WK168502";"3615";"755";"2860";"2765";"855";"1.4";"142";"590";"410"
"Zeeland";"BU16850200";"2600";"530";"2070";"2095";"505";"1.4";"845";"265";"300"
"Nabbegat-Voederheil";"BU16850201";"275";"90";"185";"115";"160";".";".";"95";"20"
"Oventje";"BU16850202";"270";"40";"230";"200";"70";"1.7";"113";"95";"40"
"Verspreide huizen Trent-Graspeel";"BU16850207";"250";"45";"205";"180";"70";"1.9";"39";"60";"35"
"Verspreide huizen Zevenhuis";"BU16850208";"105";"30";"75";"85";"25";"0.7";"14";"25";"15"
"Verspreide huizen Duifhuis-Kreitsberg";"BU16850209";"115";"25";"95";"90";"30";"1.2";"25";"50";"5"
"Wijk 09 Verspreide huizen Zeeland";"WK168509";"75";"10";"70";"55";"25";"1.4";"18";"30";"20"
"Verspreide huizen Peel";"BU16850909";"75";"10";"70";"55";"25";"1.4";"18";"30";"20"
"De Wolden";"GM1690";"13235";"3355";"9885";"9565";"3670";"1.4";"59";"2285";"1690"
"Wijk 00 Zuidwolde";"WK169000";"3400";"915";"2485";"2495";"905";"1.3";"148";"470";"395"
"Zuidwolde kern";"BU16900000";"2950";"790";"2155";"2200";"745";"1.3";"1126";"350";"345"
"Verspreide huizen Zuidwolde";"BU16900009";"450";"125";"330";"295";"155";"1.5";"22";"120";"55"
"Wijk 01 Alteveer";"WK169001";"475";"95";"375";"360";"115";"1.5";"83";"75";"70"
"Alteveer";"BU16900100";"300";"60";"240";"235";"65";"1.4";"719";"35";"40"
"Verspreide huizen Alteveer";"BU16900109";"175";"40";"135";"125";"50";"1.8";"33";"40";"30"
"Wijk 02 Kerkenveld";"WK169002";"460";"95";"360";"325";"135";"1.5";"45";"80";"55"
"Kerkenveld";"BU16900200";"280";"60";"220";"205";"75";"1.4";"527";"40";"30"
"Verspreide huizen Kerkenveld";"BU16900209";"180";"35";"145";"120";"55";"1.6";"18";"40";"25"
"Wijk 03 Drogteropslagen";"WK169003";"340";"55";"280";"225";"115";"1.6";"36";"70";"55"
"Drogteropslagen";"BU16900300";"210";"35";"170";"130";"75";"1.9";"302";"30";"35"
"Verspreide huizen Drogteropslagen";"BU16900309";"130";"20";"110";"90";"40";"1.4";"15";"40";"20"
"Wijk 04 Linde";"WK169004";"380";"65";"315";"255";"125";"1.6";"24";"90";"35"
"Linde";"BU16900400";"75";"10";"65";"50";"30";".";".";"10";"10"
"Verspreide huizen Linde";"BU16900409";"305";"55";"250";"210";"95";"1.6";"20";"80";"25"
"Wijk 05 Fort";"WK169005";"395";"100";"295";"280";"115";"1.6";"23";"105";"70"
"Fort";"BU16900500";"185";"60";"125";"135";"50";"2.1";"597";"30";"30"
"Verspreide huizen Fort";"BU16900509";"210";"40";"170";"145";"65";"1.3";"13";"75";"40"
"Wijk 06 Veeningen";"WK169006";"340";"65";"275";"250";"90";"1.3";"41";"100";"45"
"Veeningen";"BU16900600";"135";"20";"115";"105";"30";"1.1";"721";"20";"20"
"Verspreide huizen Veeningen";"BU16900609";"205";"45";"160";"145";"60";"1.6";"25";"80";"25"
"Wijk 07 Echten";"WK169007";"205";"35";"170";"140";"65";"1.4";"15";"45";"20"
"Echten";"BU16900700";"95";"20";"75";"60";"35";"1.2";"161";"15";"15"
"Verspreide huizen Echten";"BU16900709";"110";"20";"95";"80";"30";"1.7";"8";"30";"5"
"Wijk 08 Ruinen";"WK169008";"1950";"545";"1405";"1420";"530";"1.3";"54";"355";"255"
"Ruinen";"BU16900800";"1435";"405";"1030";"1070";"365";"1.2";"823";"245";"185"
"Oldenhave";"BU16900801";"45";"10";"30";"30";"15";".";".";"5";"5"
"Ruinerweide";"BU16900802";"15";"5";"10";"15";"0";".";".";"0";"0"
"Leeuwte";"BU16900803";"55";"15";"40";"40";"20";".";".";"10";"10"
"Hees";"BU16900804";"55";"15";"40";"35";"20";".";".";"10";"10"
"Verspreide huizen Ruinen";"BU16900809";"345";"95";"250";"230";"110";"1.2";"10";"80";"45"
"Wijk 09 Eursinge";"WK169009";"45";"10";"35";"30";"15";".";".";"20";"5"
"Eursinge en Pesse";"BU16900900";"35";"10";"25";"25";"10";".";".";"15";"0"
"Verspreide huizen Pesse";"BU16900909";"10";"5";"10";"10";"5";".";".";"5";"0"
"Wijk 10 Ansen";"WK169010";"165";"50";"115";"115";"50";"1.3";"18";"35";"25"
"Ansen";"BU16901000";"145";"45";"100";"105";"40";"1.4";"157";"25";"25"
"Verspreide huizen Ansen";"BU16901009";"20";"5";"15";"10";"10";".";".";"10";"0"
"Wijk 11 Ruinerwold";"WK169011";"2165";"540";"1625";"1535";"630";"1.4";"63";"355";"305"
"Ruinerwold";"BU16901100";"1360";"360";"1005";"1015";"345";"1.3";"704";"160";"175"
"Haakswold";"BU16901101";"105";"40";"65";"55";"55";".";".";"25";"25"
"Oosteinde";"BU16901102";"135";"35";"105";"95";"40";"1.3";"595";"25";"15"
"Berghuizen";"BU16901103";"100";"25";"75";"70";"30";"1.8";"294";"5";"15"
"Weerwille";"BU16901104";"40";"5";"30";"25";"10";".";".";"10";"10"
"Oosteinde-Buiten";"BU16901105";"275";"50";"225";"180";"95";"1.5";"87";"105";"50"
"Ruinerwold-Buiten";"BU16901109";"145";"30";"120";"95";"50";"1.4";"5";"25";"15"
"Wijk 12 Koekange";"WK169012";"1445";"360";"1085";"1060";"385";"1.4";"55";"285";"165"
"Koekange";"BU16901200";"630";"170";"460";"475";"155";"1.4";"826";"80";"70"
"Koekange Noord";"BU16901201";"240";"55";"185";"175";"65";"2.3";"394";"85";"35"
"Koekange Zuid";"BU16901202";"100";"20";"80";"75";"25";"1.7";"130";"20";"10"
"Koekangerveld";"BU16901203";"90";"20";"70";"70";"20";"1.4";"223";"15";"10"
"Verspreide huizen Koekange";"BU16901209";"380";"90";"285";"265";"115";"1.2";"16";"80";"40"
"Wijk 13 De Wijk";"WK169013";"1450";"415";"1035";"1055";"400";"1.2";"136";"180";"190"
"De Wijk";"BU16901300";"1285";"380";"905";"950";"335";"1.2";"896";"140";"170"
"Verspreide huizen De Wijk";"BU16901309";"165";"35";"135";"105";"65";"1.5";"18";"45";"20"
"Noord-Beveland";"GM1695";"4275";"1100";"3170";"3370";"900";"1.2";"50";"690";"435"
"Wijk 00 Kortgene";"WK169500";"1040";"305";"735";"805";"235";"1.2";"67";"145";"85"
"Kortgene-Dorp";"BU16950000";"740";"195";"545";"595";"145";"1.1";"1014";"100";"65"
"Kortgene-Oost";"BU16950001";"225";"90";"135";"165";"65";"1.3";"333";"20";"15"
"Verspreide huizen Kortgene";"BU16950009";"70";"20";"50";"45";"25";".";".";"20";"5"
"Wijk 01 Colijnsplaat";"WK169501";"880";"175";"705";"710";"175";"1.2";"59";"115";"125"
"Colijnsplaat";"BU16950100";"825";"165";"660";"675";"150";"1.2";"956";"100";"120"
"Verspreide huizen Colijnsplaat";"BU16950109";"55";"10";"45";"35";"20";".";".";"15";"5"
"Wijk 02 Kats";"WK169502";"275";"85";"190";"205";"70";"1.3";"29";"40";"30"
"Kats";"BU16950200";"210";"70";"140";"165";"45";"1.3";"1181";"20";"25"
"Verspreide huizen Kats";"BU16950209";"70";"15";"50";"40";"25";".";".";"20";"5"
"Wijk 03 Kamperland";"WK169503";"1230";"330";"900";"960";"270";"1.3";"41";"260";"130"
"Kamperland";"BU16950300";"915";"220";"695";"730";"185";"1.2";"866";"170";"115"
"Recreatiegebied Kamperland";"BU16950301";"160";"55";"100";"115";"45";"1.3";"222";"15";"5"
"Verspreide huizen Kamperland";"BU16950309";"155";"55";"100";"115";"40";"1.5";"5";"75";"10"
"Wijk 04 Wissenkerke";"WK169504";"645";"140";"500";"530";"115";"1.2";"56";"105";"50"
"Wissenkerke";"BU16950400";"580";"130";"450";"485";"95";"1.1";"1154";"70";"50"
"Verspreide huizen Wissenkerke";"BU16950409";"60";"10";"50";"45";"20";".";".";"35";"0"
"Wijk 05 Geersdijk";"WK169505";"185";"45";"140";"150";"35";"1.1";"44";"25";"15"
"Geersdijk";"BU16950500";"165";"40";"120";"135";"30";"1.2";"904";"20";"15"
"Verspreide huizen Geersdijk";"BU16950509";"20";"5";"15";"15";"5";".";".";"5";"0"
"Wijdemeren";"GM1696";"13085";"4020";"9060";"10970";"2115";"1.3";"273";"1890";"1100"
"Wijk 00 's-Graveland";"WK169600";"770";"230";"540";"640";"130";"1.2";"147";"180";"65"
"'s-Graveland";"BU16960000";"770";"230";"540";"640";"130";"1.2";"147";"180";"65"
"Wijk 01 Kortenhoef";"WK169601";"3410";"1075";"2335";"2965";"445";"1.2";"342";"285";"295"
"Oud-Kortenhoef";"BU16960100";"295";"80";"215";"250";"40";"1.5";"96";"35";"35"
"Rade, Oranjebuurt, Munniksveen e.o.";"BU16960101";"2960";"950";"2010";"2590";"365";"1.1";"780";"225";"255"
"Moleneind";"BU16960102";"120";"35";"85";"95";"25";"1.6";"166";"15";"5"
"Kromme Rade";"BU16960103";"35";"10";"25";"25";"10";".";".";"10";"0"
"Wijk 02 Ankeveen";"WK169602";"920";"245";"680";"760";"160";"1.4";"151";"190";"110"
"Ankeveen";"BU16960200";"165";"50";"115";"140";"25";"1.4";"70";"20";"15"
"Ankeveense Rade";"BU16960201";"660";"160";"500";"550";"110";"1.4";"284";"150";"85"
"Hollandsch Ankeveen";"BU16960202";"100";"40";"60";"75";"25";"1.8";"68";"20";"10"
"Wijk 03 Loosdrecht";"WK169603";"1345";"350";"1000";"1090";"255";"1.4";"191";"190";"110"
"Oud-Loosdrecht";"BU16960300";"1345";"350";"1000";"1090";"255";"1.4";"191";"190";"110"
"Wijk 04 Nieuw-Loosdrecht";"WK169604";"3510";"1155";"2355";"2990";"520";"1.2";"534";"480";"270"
"Nieuw-Loosdrechtsedijk";"BU16960400";"3145";"1030";"2110";"2700";"445";"1.2";"630";"430";"245"
"Muijeveld";"BU16960401";"100";"35";"65";"75";"25";"1.4";"693";"5";"10"
"Boomhoek";"BU16960402";"265";"90";"180";"215";"50";"1.8";"186";"45";"20"
"Wijk 05 Breukeleveen";"WK169605";"160";"65";"95";"125";"35";"1.7";"119";"20";"10"
"Breukeleveen";"BU16960500";"160";"65";"95";"125";"35";"1.7";"119";"20";"10"
"Wijk 06 Nederhorst den Berg";"WK169606";"2945";"895";"2050";"2385";"560";"1.4";"254";"550";"240"
"Horn- en Kuijerpolder";"BU16960601";"710";"220";"485";"600";"105";"1.2";"274";"65";"40"
"Blijkpolder";"BU16960602";"730";"250";"475";"595";"135";"1.3";"989";"70";"50"
"Horstermeer";"BU16960603";"650";"190";"460";"475";"170";"2.2";"108";"335";"65"
"Splegelpolder";"BU16960604";"860";"230";"630";"715";"150";"1.2";"381";"85";"80"
"Noordenveld";"GM1699";"16480";"4185";"12295";"12685";"3795";"1.2";"82";"1900";"1600"
"Wijk 00 Roden";"WK169900";"8935";"2385";"6550";"7035";"1900";"1.1";"775";"885";"810"
"Roden";"BU16990000";"3535";"830";"2705";"2920";"615";"1.0";"1061";"255";"300"
"Roden West";"BU16990010";"3470";"1040";"2430";"2675";"795";"1.2";"1616";"120";"295"
"Industrieterrein Roden";"BU16990020";"310";"120";"190";"215";"95";"2.3";"207";"305";"30"
"Nieuw-Roden";"BU16990030";"645";"150";"500";"505";"140";"1.2";"621";"75";"70"
"Nietap";"BU16990040";"500";"140";"360";"380";"120";"1.3";"761";"45";"70"
"Leutingewolde";"BU16990050";"70";"15";"55";"50";"20";"1.1";"111";"40";"15"
"Foxwolde";"BU16990060";"105";"25";"80";"70";"30";"1.5";"91";"20";"10"
"Roderwolde";"BU16990070";"180";"35";"145";"130";"50";"1.4";"271";"15";"25"
"Sandebuur";"BU16990080";"30";"5";"25";"20";"10";".";".";"0";"0"
"Lieveren";"BU16990090";"85";"25";"60";"65";"25";"1.7";"329";"10";"5"
"Wijk 01 Roden";"WK169901";"825";"160";"665";"600";"225";"1.4";"16";"150";"100"
"Roderesch";"BU16990100";"140";"20";"120";"100";"40";"1.3";"355";"20";"20"
"Steenbergen";"BU16990110";"45";"10";"35";"30";"15";".";".";"10";"5"
"Buitengebied Roden Noord";"BU16990120";"65";"10";"55";"45";"20";"0.9";"3";"20";"10"
"Buitengebied Roden Zuid";"BU16990130";"390";"75";"315";"285";"100";"1.4";"18";"80";"50"
"Buitengebied Roden West";"BU16990140";"185";"35";"145";"135";"50";"1.5";"29";"25";"20"
"Wijk 03 Norg";"WK169903";"3390";"785";"2610";"2500";"890";"1.3";"90";"405";"375"
"Norg";"BU16990300";"1840";"465";"1370";"1410";"425";"1.2";"862";"155";"145"
"Een";"BU16990310";"305";"65";"240";"230";"75";"1.4";"373";"50";"40"
"Langelo";"BU16990320";"135";"30";"110";"100";"40";"1.6";"287";"40";"20"
"Peest";"BU16990330";"60";"15";"45";"45";"15";".";".";"5";"10"
"Zuidvelde";"BU16990340";"35";"10";"30";"25";"10";".";".";"10";"10"
"Westervelde";"BU16990350";"90";"20";"70";"55";"35";"1.3";"156";"20";"5"
"Veenhuizen";"BU16990360";"520";"100";"420";"360";"155";"1.5";"320";"45";"90"
"Verspreide huizen Huis ter Heide";"BU16990370";"65";"20";"45";"45";"15";"1.2";"6";"25";"15"
"Verspreide huizen Een-West";"BU16990380";"125";"15";"110";"70";"55";"1.5";"26";"20";"20"
"Verspreide huizen Norg";"BU16990390";"220";"40";"175";"160";"60";"1.0";"13";"35";"25"
"Wijk 04 Norg";"WK169904";"415";"90";"320";"270";"140";"1.4";"6";"105";"65"
"Verspreide huizen Een";"BU16990400";"185";"40";"145";"120";"65";"1.4";"12";"55";"25"
"Verspreide huizen Langelo";"BU16990410";"0";"0";"0";"0";"0";".";".";"0";"0"
"Verspreide huizen Peest";"BU16990420";"10";"5";"5";"5";"5";".";".";"10";"0"
"Verspreide huizen Zuidvelde";"BU16990430";"75";"20";"55";"50";"25";".";".";"20";"10"
"Verspreide huizen Westervelde";"BU16990440";"0";"0";"0";"0";"0";".";".";"0";"0"
"Verspreide huizen Veenhuizen";"BU16990450";"140";"25";"115";"95";"45";"1.4";"5";"20";"30"
"Wijk 06 Peize";"WK169906";"2905";"760";"2145";"2270";"635";"1.3";"102";"340";"250"
"Peize";"BU16990600";"2215";"620";"1595";"1765";"450";"1.2";"703";"225";"200"
"Altena";"BU16990610";"195";"30";"170";"160";"40";"1.6";"1017";"25";"20"
"Peizermade";"BU16990620";"70";"15";"55";"45";"25";".";".";"20";"5"
"Verspreide huizen Peize Noord";"BU16990630";"420";"95";"325";"300";"120";"1.5";"17";"70";"30"
"Twenterand";"GM1700";"17070";"4035";"13035";"13400";"3670";"1.3";"161";"2825";"1505"
"Wijk 00 Vriezenveen (kern)";"WK170000";"6325";"1580";"4745";"5120";"1210";"1.3";"672";"800";"500"
"Centrum-Vriezenveen";"BU17000000";"1150";"250";"900";"975";"175";"1.1";"796";"155";"75"
"Midden";"BU17000001";"375";"85";"290";"305";"70";"1.2";"665";"50";"20"
"Oosteinde en Slot";"BU17000002";"545";"125";"420";"420";"125";"1.5";"258";"265";"45"
"Westeinde";"BU17000003";"520";"105";"415";"405";"120";"1.4";"831";"80";"35"
"West ten oosten Kanaal";"BU17000004";"120";"20";"100";"95";"20";"1.3";"402";"20";"20"
"West ten westen Kanaal";"BU17000005";"465";"105";"360";"370";"95";"1.4";"163";"80";"50"
"Westerweilanden-Elzenhoek";"BU17000006";"1525";"400";"1125";"1250";"275";"1.3";"2586";"55";"125"
"Toekomstig bestemmingsplan Noord";"BU17000007";"1615";"480";"1140";"1300";"315";"1.4";"2261";"80";"135"
"Industrieterrein Vriezenveen-West";"BU17000008";"10";"10";"0";"5";"5";".";".";"15";"0"
"Wijk 01 Vriezenveen (buitengebied)";"WK170001";"595";"170";"425";"410";"185";"1.7";"23";"255";"50"
"Verspreide huizen De Westerhoeve";"BU17000105";"90";"25";"65";"60";"30";"1.7";"47";"55";"5"
"Verspr.h. ten noorden van Vriezenveen";"BU17000106";"140";"60";"80";"80";"60";".";".";"150";"5"
"Verspreide huizen De Pollen";"BU17000107";"285";"70";"215";"215";"70";"1.6";"85";"35";"30"
"Verspreide huizen Weitemanslanden";"BU17000108";"50";"10";"40";"35";"15";".";".";"15";"5"
