"Kerncijfers wijken en buurten 2014"
"Onderwerpen";"Regioaanduiding";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik";"Gemiddeld elektriciteitsverbruik"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar woningtype";"Naar eigendom";"Naar eigendom"
"Onderwerpen";"Codering";"Gemiddeld elektriciteitsverbruik totaal";"Appartement";"Tussenwoning";"Hoekwoning";"Twee-onder-één-kap-woning";"Vrijstaande woning";"Huurwoning";"Koopwoning"
"Wijken en buurten";"code";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh";"kWh"
"Verspr.h. Kanaal- en Oudelandsdijk";"BU08800209";"4150";".";".";".";"4400";"3950";"4250";"4100"
"Onderbanken";"GM0881";"3650";"2150";"3550";"3550";"3500";"4550";"2800";"3950"
"Wijk 00 Onderbanken";"WK088100";"3650";"2150";"3550";"3550";"3500";"4550";"2800";"3950"
"Schinveld";"BU08810000";"3550";"2200";"3600";"3550";"3500";"4400";"2850";"3950"
"Jabeek";"BU08810001";"3700";"1750";"3700";"3850";"3200";"4650";"3000";"3950"
"Bingelrade";"BU08810002";"3850";"1750";"3200";"4000";"3450";"4650";"2600";"4150"
"Merkelbeek-Douvergenhout";"BU08810003";"3750";".";"3500";"3350";"3500";"4700";"2750";"4000"
"Verspreide huizen";"BU08810009";"4300";".";".";".";".";".";".";"4300"
"Landgraaf";"GM0882";"3200";"2100";"3300";"3400";"3500";"4350";"2500";"3650"
"Wijk 00 Schaesberg";"WK088200";"3150";"2100";"3300";"3450";"3500";"4400";"2500";"3600"
"Kakert";"BU08820001";"3550";"2050";"3150";"3450";"3550";"4600";"2900";"4100"
"Lichtenberg";"BU08820002";"2850";"2000";"3150";"3300";"3300";"3800";"2250";"3450"
"De Dormig";"BU08820003";"3200";".";"3150";"3300";"3250";"3950";"2300";"3600"
"De Streep";"BU08820004";"2800";"2150";"3400";"3650";"3550";"3750";"2250";"3450"
"Klinkerkwartier";"BU08820005";"3550";"1650";"3550";"3800";"3950";"4000";"2150";"3750"
"Achter de Haesen";"BU08820006";"2750";"1650";"3100";"3100";"3400";"3950";"2550";"3450"
"Leenhof";"BU08820007";"3350";"4000";"3250";"3300";"3350";".";"3000";"3350"
"Schaesberg Centrum";"BU08820008";"2900";"2150";"3300";"3250";"3400";"4300";"2150";"3450"
"Achter den Winkel";"BU08820009";"3000";"2250";"3350";"3700";"3600";"3650";"2250";"3400"
"Mijnbuurt";"BU08820010";"3500";"2000";"3350";"3700";"3700";"4100";"3150";"3600"
"Eiske";"BU08820011";"3050";"2000";"3050";"3300";"3500";"3750";"2550";"3450"
"Heistraat";"BU08820012";"4700";".";"3650";"3900";"4600";"6050";"3500";"4750"
"Gravenrode";"BU08820020";"4650";".";".";".";".";"5200";".";"4750"
"Wijk 01 Nieuwenhagen";"WK088201";"3100";"2150";"3200";"3300";"3450";"4400";"2500";"3600"
"Nieuwenhagerheide";"BU08820101";"3000";"2350";"3000";"3100";"3350";"3700";"2450";"3450"
"Oud Nieuwenhagen";"BU08820102";"2950";"2100";"3250";"3250";"3450";"4000";"2400";"3450"
"Hoefveld";"BU08820103";"3750";"2350";"3550";"3700";"3750";"4900";"2750";"4100"
"Op de Kamp";"BU08820104";"2700";"2050";"3200";"3550";"3950";"3650";"2350";"3050"
"Exdel";"BU08820105";"3900";"1950";"3400";"3350";"3400";"5050";"3200";"4300"
"Buitengebied Brunssumerheide (2)";"BU08820120";"5100";".";".";".";".";"5300";".";"4950"
"Wijk 02 Ubach over Worms";"WK088202";"3250";"2000";"3350";"3400";"3550";"4300";"2550";"3650"
"Abdissenbosch";"BU08820201";"3450";"2550";"3200";"3150";"3650";"4100";"2950";"3700"
"Parkheide";"BU08820202";"4050";"2300";"3750";"3700";"4000";"4900";"3000";"4300"
"Namiddagsche Driessen";"BU08820203";"3600";".";"3550";"3500";"3900";"4750";"3100";"3800"
"Lauradorp";"BU08820204";"3100";"2000";"3150";"3300";"3400";"3550";"2500";"3350"
"Waubach";"BU08820205";"2850";"1950";"3250";"3350";"3300";"3650";"2250";"3400"
"Groenstraat";"BU08820206";"3500";"1950";"3250";"3650";"3850";"4100";"2400";"3750"
"Rimburg";"BU08820207";"3200";"2100";"3250";"3550";"3300";"3750";"2550";"3450"
"Brunssumerheide (1)";"BU08820220";".";".";".";".";".";".";".";"."
"Beek";"GM0888";"3350";"2050";"3450";"3500";"3750";"4400";"2400";"3800"
"Wijk 00 Beek - Spaubeek";"WK088800";"3300";"2050";"3450";"3500";"3700";"4350";"2400";"3700"
"Beek";"BU08880000";"3050";"2000";"3450";"3450";"3650";"4350";"2250";"3600"
"Neerbeek";"BU08880001";"3650";"2150";"3450";"3450";"3750";"4300";"2800";"3800"
"Spaubeek";"BU08880002";"3650";"2150";"3450";"3600";"3750";"4350";"2800";"3950"
"Wijk 01 Beek-Zuid";"WK088801";"4100";"4700";"3550";"3600";"4050";"4700";"3000";"4250"
"Geverik";"BU08880100";"4100";".";"3500";"3100";"4100";"4500";"3050";"4250"
"Grootgenhout";"BU08880101";"3950";".";"3600";"3650";"4000";"4650";"2750";"4150"
"Kleingenhout";"BU08880102";"4600";".";".";".";"3950";"5700";"3600";"5050"
"Kelmond";"BU08880103";"4150";".";".";".";"3850";"4400";".";"4200"
"Verspr.h. Vliegbasis Zuid-Limburg";"BU08880109";"5050";".";".";".";".";".";".";"."
"Beesel";"GM0889";"3500";"2200";"3400";"3300";"3650";"4450";"2650";"3950"
"Wijk 00 Reuver";"WK088900";"3450";"2200";"3350";"3300";"3650";"4400";"2650";"3850"
"Reuver";"BU08890000";"3300";"2350";"3300";"3350";"3550";"4150";"2600";"3750"
"Offenbeek";"BU08890001";"3550";"1750";"3450";"3250";"3700";"4600";"2700";"4000"
"Verspr.h. ten O. en Z. van de spoorlijn";"BU08890008";"6500";".";".";".";".";"6650";".";"6700"
"Overige verspreide huizen";"BU08890009";"5450";".";".";".";".";"5550";".";"5400"
"Wijk 01 Beesel";"WK088901";"3900";"2050";"3500";"3100";"3800";"4550";"2750";"4250"
"Beesel";"BU08890100";"3800";"2050";"3450";"3100";"3750";"4500";"2700";"4150"
"Bussereind";"BU08890101";"4800";".";".";".";"4250";"4950";".";"4950"
"Rijkel";"BU08890102";"4600";".";".";".";".";"4250";".";"4600"
"Verspreide huizen";"BU08890109";"4700";".";"4700";".";"3950";"5100";".";"4800"
"Bergen (L.)";"GM0893";"3700";"2150";"3250";"3350";"3500";"4550";"2800";"4100"
"Wijk 00 Siebengewald";"WK089300";"3850";"2350";"3200";"3450";"3500";"4550";"3000";"4200"
"Siebengewald";"BU08930000";"3700";"2250";"3200";"3450";"3450";"4550";"2900";"4100"
"Groote Horst-Kleine Horst";"BU08930003";"4350";".";".";".";"4100";"4400";"4450";"4350"
"Verspreide huizen Vrij-Op de Belt";"BU08930008";"5000";".";".";".";".";"5000";".";"5100"
"Wijk 01 Afferden";"WK089301";"3750";"2150";"3250";"3400";"3450";"4500";"2650";"4200"
"Afferden";"BU08930100";"3600";"2150";"3250";"3400";"3400";"4300";"2600";"4100"
"Heukelom-Gening-Berkenkamp";"BU08930101";"4600";".";".";".";"3850";"4850";".";"4700"
"Rimpeld-Bleijenbeek";"BU08930102";"4600";".";".";".";".";"4900";".";"4650"
"Verspr.h. ten noorden van Afferden";"BU08930108";"5250";".";".";".";".";"5200";".";"5350"
"Wijk 02 Bergen";"WK089302";"3500";"2100";"3250";"3300";"3350";"4550";"2800";"3900"
"Bergen";"BU08930200";"3850";".";"3350";"4100";"2850";"4400";"2700";"4100"
"Aijen";"BU08930201";"4650";".";".";".";"3600";"4900";".";"4600"
"Rijksweg, Bergsche Heide en Op de Paal";"BU08930202";"4700";".";"3450";".";"3200";"5200";"2300";"4700"
"Nieuw-Bergen";"BU08930203";"3300";"2050";"3200";"3250";"3350";"4300";"2750";"3750"
"Verspreide huizen Ceres-Lackbar";"BU08930209";"5150";".";".";".";".";"5200";".";"4600"
"Wijk 03 Well";"WK089303";"3850";"2050";"3250";"3300";"3650";"4550";"2650";"4250"
"Papenbeek";"BU08930300";"3900";".";"3600";"3300";"3650";"4550";"2850";"4250"
"Well waaronder Elsteren";"BU08930301";"3200";"1850";"2300";"3300";"3400";"4350";"1850";"4050"
"Verspreide huizen Knikkerdorp-Wellsmeer";"BU08930308";"4800";".";".";".";"4400";"4900";"4800";"4800"
"Verspr.h. Leuken-Kamp-Bosserheide";"BU08930309";"4350";".";".";".";"3750";"4450";"3550";"4450"
"Wijk 04 Wellerlooi";"WK089304";"4150";"2600";"3550";"3500";"3850";"4500";"3450";"4350"
"Wellerlooi";"BU08930400";"3950";"2600";"3500";"3500";"3800";"4300";"3250";"4200"
"Verspreide huizen Wellerlooi Tuindorp";"BU08930408";"5050";".";".";".";".";"5050";".";"5050"
"Verspreide huizen De Hamert";"BU08930409";"5250";".";".";".";".";"5000";".";"5000"
"Brunssum";"GM0899";"3050";"2100";"3250";"3300";"3550";"4400";"2400";"3500"
"Wijk 01 Brunssum-West";"WK089901";"3300";"2150";"3300";"3400";"3700";"4800";"2700";"3700"
"Klingelsberg";"BU08990124";"3350";"1800";"3350";"3500";"3550";"5300";"2350";"3650"
"Op de Vos";"BU08990126";"3350";"2350";"3350";"3250";"3750";"3350";"2800";"3500"
"Treebeek-Zuid";"BU08990134";"2750";"2000";"2950";"3100";"3150";"5100";"2550";"3150"
"Emma";"BU08990135";"3550";"2950";"3700";"4200";"3950";"5300";"3300";"3950"
"Amstenraderveld";"BU08990136";"5100";".";"3550";"3400";".";"6000";"3450";"5350"
"Treebeek-Noord";"BU08990144";"3600";"2500";"3400";"3700";"4000";"3900";"3050";"3700"
"Wijk 02 Brunssum-Noord";"WK089902";"2900";"2250";"3200";"3300";"3400";"4100";"2400";"3450"
"Houserveld";"BU08990201";".";".";".";".";".";".";".";"."
"Klingbemden";"BU08990202";"3800";".";"3400";"4100";"3700";"4450";"3100";"3950"
"Rozengaard";"BU08990203";"3000";"1850";"3250";"3650";"3450";"3900";"2700";"3550"
"De Kling";"BU08990204";"3350";"3050";"3250";"3000";"2700";"4050";"2600";"3600"
"Op den Haan";"BU08990205";"2650";"1950";"3150";"2850";"3650";"3250";"2300";"3350"
"Lemmender";"BU08990207";"2600";"2550";"3300";".";".";".";"2450";"2900"
"De Streek";"BU08990208";"2800";"2000";"3050";"3500";"3450";".";"2050";"3350"
"Het Heufken";"BU08990209";"2600";"1950";"2900";"2600";"3100";"4000";"2100";"3050"
"Bexdelle";"BU08990225";"2950";"1900";"3400";"3250";"3700";"3600";"2150";"3650"
"Merkelbeekerdal";"BU08990242";"4200";".";"3900";".";"4750";"4350";".";"4300"
"Buitengebied";"BU08990243";"1800";"1800";".";".";".";".";"1800";"."
"Wijk 03 Brunssum-Oost";"WK089903";"3050";"1900";"3100";"3100";"3400";"4250";"2600";"3450"
"Rode Beek";"BU08990314";".";".";".";".";".";".";".";"."
"Op gen Hoes";"BU08990315";"3500";".";"3450";"3600";".";".";".";"3500"
"Oeloven";"BU08990316";"3800";".";"3850";"3550";"3750";"4000";"3850";"3750"
"De Eggen";"BU08990317";"2900";"1700";"3050";"3100";"3100";"4200";"2700";"3300"
"Schuttersveld";"BU08990318";"2800";"2050";"2750";"3100";"3150";".";"2300";"3100"
"De Kattekoelen";"BU08990332";".";".";".";".";".";".";".";"."
"Bouwberg";"BU08990333";"3800";".";"3600";".";"3850";"5150";"3500";"3900"
"Ora et Labora";"BU08990337";".";".";".";".";".";".";".";"."
"Hendrik en omgeving";"BU08990339";".";".";".";".";".";".";".";"."
"De Heide";"BU08990340";".";".";".";".";".";".";".";"."
"Kleikoelen";"BU08990345";"2400";"1650";"2750";"2500";".";".";"2150";"3550"
"Wijk 04 Brunssum-Zuid";"WK089904";"3400";"2300";"3250";"3400";"3600";"4500";"2850";"3500"
"Vondelstraat";"BU08990428";"3850";".";"3700";"3300";"4300";"4350";"3200";"4000"
"Langenberg";"BU08990429";"3350";".";"3300";"3400";"3500";".";"2700";"3450"
"De Struiken";"BU08990430";"3350";"2650";"3150";"3450";"3600";"4750";"2850";"3500"
"Douvenberg";"BU08990431";".";".";".";".";".";".";".";"."
"Brandenberg";"BU08990438";".";".";".";".";".";".";".";"."
"Brunssumer Heide";"BU08990441";".";".";".";".";".";".";".";"."
"Wijk 05 Brunssum-Centrum";"WK089905";"2800";"1950";"3400";"3300";"3650";"4300";"2050";"3350"
"Hofpoel";"BU08990506";"2450";"1950";"3450";"3050";"3950";"3900";"1850";"3100"
"Op de Vaard";"BU08990510";"3100";"2100";"3800";"3900";"4000";"4250";"2450";"3500"
"Koutenveld";"BU08990511";"2650";"2600";"2800";".";".";"3400";"2500";"2700"
"Centrum";"BU08990512";"2000";"1850";"2400";"2900";"4300";"2800";"1650";"2300"
"Kerkeveld";"BU08990513";"2650";"1750";"2500";"2850";"3450";"3200";"2200";"2950"
"Kruisberg";"BU08990519";"2950";"1900";"3100";"3050";"3300";"4850";"1950";"3250"
"Achter de Put";"BU08990520";"3000";"2000";"3200";"2600";"3200";"4150";"2550";"3350"
"Haansberg";"BU08990521";"3250";"2200";"3500";"3750";"3800";".";"2300";"3750"
"Vijverpark";"BU08990522";"1500";"1350";".";".";".";"2550";"1400";"1900"
"Rumpener Beemden";"BU08990523";"2450";"1750";"3850";"3900";"3800";"4100";"1850";"3400"
"De Hemelder";"BU08990527";"3900";".";"3750";"3450";"3300";"4900";"3050";"4050"
"Gennep";"GM0907";"3500";"2650";"3100";"3300";"3650";"4350";"2800";"3900"
"Wijk 00 Milsbeek";"WK090700";"3950";"2450";"3400";"3400";"3850";"4350";"2950";"4200"
"Milsbeek";"BU09070000";"3800";"2450";"3350";"3450";"3750";"4300";"2800";"4100"
"Sprokkelveld";"BU09070001";"4300";".";"3850";".";"4300";"4350";"3500";"4350"
"Bloemenstraat-Zwarteweg";"BU09070009";"4800";".";".";".";"4500";"4850";"4300";"4850"
"Wijk 01 Ottersum";"WK090701";"3700";"1600";"3550";"3150";"3800";"4450";"3200";"4100"
"Ottersum";"BU09070100";"3500";"1600";"3550";"3150";"3650";"4400";"3050";"3950"
"Aaldonk-Violenberg";"BU09070108";"4250";".";".";".";"4900";"4150";"3900";"4400"
"Looierheide";"BU09070109";"5100";".";".";".";".";"5050";".";"4950"
"Wijk 02 Ven-Zelderheide";"WK090702";"3950";".";"3250";"2700";"3850";"4350";"2850";"4150"
"Ven-Zelderheide";"BU09070200";"3900";".";"3150";"2600";"3700";"4350";"2800";"4100"
"Langehorst-Zelder";"BU09070209";"4150";".";".";".";"4400";"4450";"3050";"4350"
"Wijk 03 Gennep";"WK090703";"3300";"2650";"3000";"3300";"3450";"4450";"2700";"3700"
"Oude Stadskern";"BU09070300";"3050";"2950";"2850";"3450";"3700";"3450";"3050";"3050"
"Noord";"BU09070301";"4250";"2400";"3400";"3800";"3800";"4900";"2800";"4550"
"Midden";"BU09070302";"3150";"2650";"3000";"3300";"3250";"4250";"2700";"3650"
"Zuid";"BU09070303";"3300";"2600";"3050";"3350";"3600";"4400";"2600";"3700"
"Panoven-Maaskemp";"BU09070309";"5550";".";".";".";".";"5550";".";"5550"
"Wijk 04 Heijen";"WK090704";"3750";".";"3000";"3000";"3650";"4100";"2750";"4050"
"Heijen";"BU09070400";"3750";".";"2950";"3000";"3650";"4400";"2700";"4150"
"Heijensebos";"BU09070408";"4800";".";".";".";".";"4800";".";"5300"
"Diekendaal-Nieuwerf";"BU09070409";"3450";".";".";".";".";"3450";".";"3400"
"Heerlen";"GM0917";"2900";"2100";"3150";"3250";"3600";"4450";"2400";"3450"
"Wijk 10 Maria Gewanden en Terschuren";"WK091710";"3100";"2200";"3300";"3300";"3550";"4350";"2500";"3650"
"Maria Gewanden";"BU09171000";"3050";"2200";"3350";"3350";"3500";"4100";"2500";"3550"
"Terschuren";"BU09171001";"3650";".";"2900";"2750";"3850";"4700";"2850";"4650"
"Wijk 11 Mariarade";"WK091711";"3250";"2300";"3450";"3400";"3600";"4300";"2550";"3750"
"Mariarade-Noord";"BU09171100";"3250";"2350";"3400";"3450";"3600";"4400";"2500";"3800"
"Mariarade-Zuid";"BU09171101";"3250";"2050";"3500";"3350";"3600";"4050";"2650";"3750"
"Wijk 12 Hoensbroek-De Dem";"WK091712";"2650";"1800";"3150";"3250";"3500";"3900";"2200";"3450"
"Hoensbroek-Centrum";"BU09171200";"2450";"1800";"3000";"3150";"3700";"4050";"2150";"3450"
"De Dem en omgeving";"BU09171201";"2900";"1850";"3250";"3300";"3450";"3800";"2350";"3450"
"Wijk 13 Nieuw Lotbroek";"WK091713";"3250";"2550";"3100";"3350";"3650";"4050";"2800";"3600"
"Nieuw Lotbroek-Noord";"BU09171300";"3150";"2350";"2950";"3150";"3600";"3950";"2450";"3500"
"Nieuw Lotbroek-Zuid";"BU09171301";"3350";"2600";"3250";"3500";"3750";"4250";"2950";"3700"
"Wijk 14 De Koumen";"WK091714";"3150";"1650";"3650";"3200";"3100";"4750";"2450";"3850"
"De Koumen";"BU09171400";"3150";"1650";"3650";"3200";"3100";"4750";"2450";"3850"
"Wijk 20 Vrieheide-De Stack";"WK091720";"3050";"2150";"3250";"3450";"3500";"4650";"2650";"3500"
"Weggebekker";"BU09172000";"2450";"2300";"2600";"2900";"2750";".";"2350";"."
"Uterweg";"BU09172001";"3200";"1950";"3250";"3600";"3650";"4750";"2350";"3600"
"Nieuw-Einde";"BU09172002";"3000";"2100";"3250";"3600";"3450";"4400";"2550";"3650"
"Versiliënbosch";"BU09172003";"3000";"2400";"2800";"2950";"3450";"5000";"2900";"4100"
"Vrieheide";"BU09172004";"3200";"2250";"3500";"3500";"3400";"4900";"3100";"3300"
"Wijk 21 Heerlerheide-Passart";"WK091721";"2750";"2100";"3150";"3300";"3650";"4250";"2500";"3400"
"Passart";"BU09172100";"2750";"1900";"3150";"3400";"3500";"3850";"2550";"3350"
"Heerlerheide Kom";"BU09172101";"2750";"2200";"3200";"3200";"3750";"4400";"2450";"3450"
"Wijk 22 Heksenberg";"WK091722";"3150";"2200";"3250";"3400";"3750";"3900";"2400";"3450"
"Heksenberg";"BU09172200";"3250";"2150";"3350";"3400";"3900";"4250";"2450";"3500"
"Pronsebroek";"BU09172201";"3000";"2250";"2950";"3350";"3350";"3500";"2200";"3200"
"Wijk 23 De Hei";"WK091723";"3200";".";".";".";"3950";"3150";"3800";"3050"
"Verspreide huizen";"BU09172300";"3200";".";".";".";"3950";"3150";"3800";"3050"
"Wijk 24 Rennemig-Beersdal";"WK091724";"3200";"1800";"3350";"3350";"3550";"4450";"2600";"3700"
"Groot Rennemig";"BU09172400";"3050";"1800";"3300";"3400";"3300";"3550";"2600";"3650"
"Beersdal";"BU09172401";"3400";"1800";"3450";"3250";"3550";"5200";"2450";"3750"
"Schelsberg";"BU09172402";"4000";".";"4050";"4050";"4150";"4050";"3750";"4100"
"Wijk 30 Zeswegen-Nieuw Husken";"WK091730";"3050";"2050";"3250";"3450";"3450";"4600";"2700";"3400"
"Husken";"BU09173000";"3550";".";"3450";"3750";"3450";"4600";"3300";"3650"
"Zeswegen";"BU09173001";"2750";"2050";"3150";"3250";".";".";"2550";"3100"
"In de Cramer";"BU09173002";".";".";".";".";".";".";".";"."
"Wijk 31 Schandelen-Grasbroek";"WK091731";"2700";"1900";"3200";"3250";"3900";"3750";"2150";"3350"
"Musschemig";"BU09173100";"3350";"2150";"3250";"3700";"4000";".";"2300";"3650"
"Grasbroek";"BU09173101";"2850";"1550";"3250";"3250";"3950";"3800";"2350";"3350"
"Schandelen";"BU09173102";"2400";"1850";"3100";"3050";"3350";"3200";"2000";"3100"
"Hoppersgraaf";"BU09173103";"2400";"2100";"3050";"3200";".";".";"2150";"3250"
"Wijk 32 Meezenbroek-Schaesbergerveld";"WK091732";"2750";"1800";"2950";"3050";"3350";"4250";"2300";"3400"
"Palemig";"BU09173200";"3550";"2100";"3100";"3700";"3700";"4500";"2600";"4050"
"Burettestraat en omgeving";"BU09173201";"2200";"1900";"2600";"2700";".";".";"2300";"1700"
"Meezenbroek";"BU09173202";"2600";"1850";"2900";"2900";"3000";".";"2350";"3450"
"Schaesbergerveld";"BU09173203";"2800";"1600";"3050";"3250";"3250";"3950";"2100";"3250"
"Wijk 33 Heerlen-Centrum";"WK091733";"2600";"2300";"3250";"3450";"4050";"4000";"2150";"3100"
"Heerlen-Centrum";"BU09173300";"2350";"2300";"3000";"3550";".";".";"2200";"2850"
"Op de Nobel";"BU09173301";"2750";"2000";"3300";"3500";"4000";".";"2050";"3300"
"'t Loon";"BU09173302";"2400";"2350";"3150";".";".";".";"2050";"2850"
"Lindeveld";"BU09173303";"3150";"2600";"3350";"3450";"3850";"3950";"2450";"3350"
"Wijk 34 Eikenderveld";"WK091734";"2400";"1900";"2700";"2800";"3700";".";"2250";"2700"
"Eikenderveld";"BU09173400";"2400";"1900";"2700";"2800";"3700";".";"2250";"2700"
"Wijk 35 Woonboulevard-Ten Esschen";"WK091735";"3600";".";"2900";"3100";"4050";"3850";"3150";"3650"
"Ten Esschen";"BU09173500";"3600";".";"2900";"3100";"4050";"3850";"3150";"3650"
"Wijk 36 Welten-Benzenrade";"WK091736";"3250";"2500";"3350";"3450";"3800";"4600";"2300";"3600"
"Terworm";"BU09173600";".";".";".";".";".";".";".";"."
"Welten-Dorp";"BU09173601";"3250";"2550";"3350";"3450";"3750";"4650";"2300";"3600"
"Ziekenhuis";"BU09173602";"1850";"1850";".";".";".";".";"1850";"."
"Benzenrade";"BU09173603";"3950";".";"2400";"3450";"4000";"4350";"3250";"4000"
"Wijk 37 Bekkerveld";"WK091737";"2800";"2150";"3200";"3100";"3750";"5250";"2150";"3250"
"Bekkerveld";"BU09173700";"3150";"2300";"3400";"3300";"4000";"4900";"2500";"3250"
"Aarveld";"BU09173701";"2450";"2050";"2850";"2900";"3500";"6400";"2050";"3200"
"Wijk 38 Caumerveld-Douve Weien";"WK091738";"2750";"1900";"3200";"3350";"3550";"4700";"2050";"3350"
"Caumerveld";"BU09173800";"3900";"3300";"3600";"3750";"3600";"4750";"2850";"4000"
"Douve Weien";"BU09173801";"2450";"1900";"3000";"3150";"3500";"4650";"2050";"3000"
"Wijk 39 Molenberg";"WK091739";"2900";"2500";"2850";"2950";"3500";"4050";"2650";"3400"
"Molenbergpark";"BU09173900";"3750";"3750";"3100";"3650";"3800";"4150";"3600";"3850"
"Dr. Nolensplein en omgeving";"BU09173901";"2650";"2000";"3000";"2750";"3300";"3950";"2300";"3150"
"Dr. Schaepmanplein en omgeving";"BU09173902";"2800";"1400";"2800";"3000";"3200";"3250";"2700";"3200"
"Schiffelerveld";"BU09173903";"2600";"1950";"2100";"2850";"3150";".";"2400";"2900"
"Wijk 40 Heerlerbaan-Centrum";"WK091740";"2600";"2150";"2800";"3050";"3400";"4650";"2450";"3400"
"Heerlerbaan-Oost";"BU09174000";"2600";"2150";"2800";"3050";"3400";"4650";"2450";"3400"
"Wijk 41 Heerlerbaan-Schil";"WK091741";"3300";"2150";"3300";"3250";"3550";"5100";"2500";"3700"
"Egstraat en omgeving";"BU09174100";"3300";"1700";"3500";"3500";"3150";"5300";"2750";"3450"
"Giezenveld";"BU09174101";"3150";"1750";"3000";"2900";"3550";"4800";"2400";"3700"
"Heerlerbaan-West";"BU09174102";"3500";"2400";"3550";"3600";"3900";"5300";"2450";"4150"
"Imstenrade";"BU09174103";"2600";".";".";".";".";".";".";"."
"Wijk 41 De Beitel";"WK091742";".";".";".";".";".";".";".";"."
"Beitel";"BU09174200";".";".";".";".";".";".";".";"."
"Kerkrade";"GM0928";"3000";"2200";"3350";"3450";"3550";"4350";"2500";"3550"
"Wijk 00 Kerkrade-West";"WK092800";"3150";"2050";"3300";"3450";"3500";"4100";"2600";"3600"
"Spekholzerheide";"BU09280000";"2800";"2050";"3400";"3650";"3400";"4300";"2250";"3600"
"Heilust";"BU09280001";"2900";"1950";"3150";"3350";"3500";"4150";"2600";"3700"
"Terwinselen";"BU09280002";"3350";"2150";"3350";"3450";"3650";"4100";"2750";"3600"
"Kaalheide";"BU09280003";"3200";"2150";"3400";"3400";"3300";"3800";"2800";"3600"
"Gracht";"BU09280004";"3250";"1900";"3350";"3400";"3650";"3850";"2550";"3550"
"Verspreide huizen Dentgenbach";"BU09280009";"4050";".";".";".";".";".";".";"."
"Wijk 01 Kerkrade-Oost";"WK092801";"2800";"2250";"3400";"3500";"3550";"4500";"2500";"3500"
"Kerkrade-Centrum";"BU09280100";"2600";"2100";"3350";"3450";"3550";"4400";"2200";"3250"
"Erenstein";"BU09280101";"2750";"1950";"3300";"3450";"3400";"4700";"2350";"3750"
"Rolduckerveld";"BU09280102";"2900";"2650";"3200";"3700";".";"6100";"2650";"3650"
"Holz";"BU09280103";"2800";"2050";"3400";"3500";"3800";"4250";"2350";"3400"
"Nulland";"BU09280104";"3000";"2100";"3350";"3250";"3550";"4400";"2650";"3550"
"Bleijerheide";"BU09280105";"3000";"2450";"3500";"3650";"3400";"4400";"2750";"3700"
"Wijk 02 Kerkrade-Noord";"WK092802";"3150";"2050";"3300";"3400";"3600";"4400";"2450";"3600"
"Eygelshoven-Kom";"BU09280200";"2700";"2000";"3350";"3250";"3800";"3950";"2050";"3350"
"Hopel";"BU09280201";"3350";"2500";"3350";"3350";"3750";"4000";"2900";"3550"
"Waubacherveld";"BU09280202";"3600";"3100";"3250";"3850";"3650";"4350";"3250";"3750"
"Vink";"BU09280203";"3550";"2100";"3300";"3550";"3600";"4950";"2600";"3750"
"Chevremont";"BU09280204";"2900";"2000";"3250";"3250";"3350";"4750";"2450";"3550"
"Haanrade";"BU09280205";"3250";"1950";"3200";"3450";"3450";"4150";"2600";"3500"
"Maastricht";"GM0935";"2750";"2100";"3200";"3300";"3500";"4700";"2350";"3450"
"Wijk 00 Centrum";"WK093500";"2450";"2200";"3350";"3100";"4050";"4650";"2200";"3100"
"Binnenstad";"BU09350000";"2250";"2250";"4200";"4950";".";".";"2250";"3000"
"Jekerkwartier";"BU09350001";"2600";"2100";"3500";"2750";"4700";"5400";"2100";"3700"
"Kommelkwartier";"BU09350002";"2550";"2200";"3450";"3600";"4300";".";"2150";"3350"
"Statenkwartier";"BU09350003";"2300";"1950";"3150";"3250";"3700";".";"2150";"3300"
"Boschstraatkwartier";"BU09350004";"2200";"2000";"3450";".";".";".";"1950";"2300"
"Sint Maartenspoort";"BU09350005";"2300";"1800";"2900";"2650";"3300";".";"2200";"3350"
"Wyck";"BU09350006";"2650";"2450";"4050";"3450";".";".";"2300";"3050"
"Wijk 01 Buitenwijk Zuidwest";"WK093501";"3300";"2050";"3500";"3550";"3950";"4900";"2350";"3850"
"Villapark";"BU09350100";"3450";"2450";"3850";"3650";"4050";"4450";"2600";"3750"
"Jekerdal";"BU09350101";"3250";"2450";"3150";"3300";"3500";"4950";"2600";"3600"
"Biesland";"BU09350102";"3350";"1550";"3350";"3450";"3850";"5250";"2250";"4000"
"Campagne";"BU09350103";"2850";"1700";"3600";"4150";"4200";"4950";"1900";"4000"
"Wolder";"BU09350104";"3350";"2000";"3200";"3500";"3900";"4800";"2500";"3800"
"Sint Pieter";"BU09350105";"4950";".";"4000";".";"5700";"5100";".";"5250"
"Wijk 02 Buitenwijk West";"WK093502";"2650";"2050";"3050";"3150";"3200";"4450";"2300";"3300"
